"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"307","Victor Olofsson","VGK","L","18","287.13333333333","8","5","5","0","13","59.09","40","20.00","3.65","81","55","45","14","4","5","4","2","2","0","0","0","10","6","8","11","7","0","5","0.00"
"310","Jake Middleton","MIN","D","29","597.43333333333","5","8","4","4","13","37.14","44","11.36","2.3","89","56","37","7","5","6","15","6","5","1","0","7","21","14","42","35","76","0","0","-"
"346","Nicolas Roy","VGK","C","31","497.61666666667","6","7","5","2","13","56.52","52","11.54","6.77","90","70","55","34","4","6","31","10","8","1","1","2","26","12","25","30","10","146","161","47.56"
"400","Sam Steel","DAL","C","37","529.81666666667","4","9","5","4","13","68.42","40","10.00","3.84","76","56","40","18","5","10","12","6","6","0","0","10","18","5","36","35","12","105","93","53.03"
"459","Mikey Anderson","L.A","D","38","878.46666666667","5","8","1","7","13","37.14","47","10.64","3.15","127","70","38","6","7","8","16","8","8","0","0","6","31","11","58","80","64","0","0","-"
"482","Ryan Poehling","PHI","C","37","500.13333333333","3","10","8","2","13","65.00","33","9.09","3.06","64","45","35","16","3","5","12","6","6","0","0","5","29","4","12","40","47","206","207","49.88"
"619","Jordan Spence","L.A","D","37","641.25","2","11","7","4","13","39.39","38","5.26","1.78","105","68","24","2","1","10","14","7","7","0","0","2","42","6","33","67","42","0","0","-"
"625","Joel Kiviranta","COL","L","41","524.95","10","3","1","2","13","72.22","52","19.23","6.83","93","73","56","29","3","5","12","6","6","0","0","5","20","11","65","50","20","13","15","46.43"
"641","Drew O'Connor","PIT","L","41","603.01666666667","5","8","3","5","13","68.42","60","8.33","10.48","133","106","83","46","8","15","16","8","8","0","0","7","30","18","37","55","34","33","46","41.77"
"789","Zach Benson","BUF","L","35","517.36666666667","7","6","5","1","13","59.09","53","13.21","8.43","104","88","68","49","1","13","32","16","16","0","0","15","19","7","15","42","11","2","8","20.00"
"3","Corey Perry","EDM","R","38","433.55","6","6","3","3","12","54.55","34","17.65","5.37","79","57","50","31","1","4","18","6","4","2","0","11","20","7","16","34","12","6","5","54.55"
